Steps,Policy/Entropy,Environment/Lesson/lessonID,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Episode Length,Is Training
58600,-3.7216718,0.0,87.50886,-0.17944384,14.900291442871094,14.900291442871094,0.000488583194965031,49.0,1.0
58700,-4.443327,0.0,58.99145,-0.1930866,-3.0565853118896484,-3.0565853118896484,0.0004942188679706305,49.0,1.0
58800,-3.7713306,0.0,138.63492,-0.14774323,-9.067910194396973,-9.067910194396973,0.00141714554047212,49.0,1.0
58900,-4.079634,0.0,-41.94959,-0.15276137,-59.38493347167969,-59.38493347167969,0.00035534905327949673,49.0,1.0
59000,-3.817681,0.0,29.547455,-0.23663098,-11.498401641845703,-11.498401641845703,0.009393226326210424,49.0,1.0
59100,-4.054655,0.0,50.914917,-0.23129104,-20.308086395263672,-20.308086395263672,0.0017227387870661914,49.0,1.0
59200,-3.759176,0.0,179.00226,-0.25730026,48.18117070198059,48.18117070198059,0.001356975524686277,49.0,1.0
59300,-3.8685684,0.0,128.58568,-0.14336559,30.783190727233887,30.783190727233887,0.001094077539164573,49.0,1.0
59400,-4.503292,0.0,139.98352,-0.12532479,30.61355972290039,30.61355972290039,0.0011217353312531486,49.0,1.0
59500,-3.755624,0.0,-1.6339722,-0.2901342,-13.046642303466797,-13.046642303466797,0.0011221561289858073,49.0,1.0
59600,-4.088615,0.0,-114.55349,-0.2278311,-86.13019943237305,-86.13019943237305,0.0010397885052952915,49.0,1.0
59700,-3.4994113,0.0,91.33352,-0.13983908,-20.197307109832764,-20.197307109832764,0.000622374122031033,49.0,1.0
59800,-3.2573676,0.0,150.34271,-0.15494245,30.457706451416016,30.457706451416016,0.001029534003464505,49.0,1.0
59900,-3.0872607,0.0,90.991486,-0.16049114,13.540864944458008,13.540864944458008,0.0032510521705262363,49.0,1.0
60000,-3.5015085,0.0,64.50354,-0.20835364,-3.695005416870117,-3.695005416870117,0.003471762058325112,49.0,1.0
60100,-4.2202168,0.0,58.498142,-0.18334931,-8.252971649169922,-8.252971649169922,0.002600659558083862,49.0,1.0
60200,-3.0615232,0.0,-14.117587,-0.15584852,-41.11378192901611,-41.11378192901611,0.003360931877978146,49.0,1.0
60300,-3.0460248,0.0,95.688034,-0.18606234,16.203638076782227,16.203638076782227,0.002779472037218511,49.0,1.0
60400,-3.811026,0.0,162.33641,-0.15876076,-12.836252212524414,-12.836252212524414,0.004926661727949977,49.0,1.0
60500,-3.747082,0.0,178.55748,-0.17945774,29.452194213867188,29.452194213867188,0.0015788504970259964,49.0,1.0
60600,-3.1764233,0.0,90.10673,-0.14825788,-3.3526458740234375,-3.3526458740234375,0.0007028225081739947,49.0,1.0
60700,-3.4802325,0.0,101.58761,-0.14886427,2.3164310455322266,2.3164310455322266,0.0003942028997698799,49.0,1.0
60800,-3.1075082,0.0,97.79401,-0.15922654,-17.239802360534668,-17.239802360534668,0.05841739568859339,49.0,1.0
60900,-3.174631,0.0,187.6211,-0.20502494,52.186110496520996,52.186110496520996,0.0013141033705323935,49.0,1.0
61000,-4.076701,0.0,37.169765,-0.19288433,-23.161429405212402,-23.161429405212402,0.007297817734070122,49.0,1.0
61100,-4.0191994,0.0,-147.56322,-0.30764273,-83.31229400634766,-83.31229400634766,0.0013024192303419113,49.0,1.0
61200,-3.4132977,0.0,175.15964,-0.18441564,36.73553967475891,36.73553967475891,0.013472812017425895,49.0,1.0
61300,-3.75479,0.0,41.01937,-0.22934031,11.010169982910156,11.010169982910156,0.01896861637942493,49.0,1.0
61400,-4.017542,0.0,41.804024,-0.22340801,9.302436828613281,9.302436828613281,1.0252528206910938,49.0,1.0
61500,-3.234599,0.0,4.4922433,-0.16018821,-35.38858222961426,-35.38858222961426,0.0023691212409175932,49.0,1.0
61600,-3.5471494,0.0,-1.0067444,-0.2798244,2.390106201171875,2.390106201171875,0.0037290145992301404,49.0,1.0
61700,-3.866641,0.0,67.24588,-0.19164868,3.0324630737304688,3.0324630737304688,0.0005662835465045646,49.0,1.0
61800,-4.1249533,0.0,103.608574,-0.1493265,19.265939712524414,19.265939712524414,0.00021043577726231888,49.0,1.0
61900,-4.2225747,0.0,-86.26193,-0.20722194,-66.05180740356445,-66.05180740356445,0.002413353737210855,49.0,1.0
62000,-3.509529,0.0,127.959076,-0.1800141,19.21699333190918,19.21699333190918,0.0014996366808190942,49.0,1.0
