Steps,Policy/Entropy,Environment/Lesson/heightMultiplier,Environment/Lesson/noiseEstimatorVariable,Environment/Lesson/noiseScale,Environment/Lesson/noiseOctaves,Environment/Lesson/noisePersistence,Environment/Lesson/noiseLacunarity,Environment/Lesson/noiseSeed,Environment/Lesson/waterLevel,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
7300,1.0944703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-210.18771,4.4008093,-7386.442626953125,-7386.442626953125,31.95413589477539,985.64435,101.57672,331.30817,370.0541,0.89767236,0.0003,30.139217,5.2790365,1.0
7400,0.9356359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-138.45581,2.3106108,665.4322102864584,665.4322102864584,24.285168329874676,1959.3359,87.16592,624.8238,693.58203,0.89619255,0.00029999999,34.437,5.425091,1.0
7500,0.889618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-156.65335,1.9603181,-6697.317626953125,-6697.317626953125,29.658754348754883,3418.815,64.01277,1504.4773,1550.6514,0.8947617,0.0003,26.288416,5.154216,1.0
7600,0.8394143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-185.375,1.9553434,-9894.5380859375,-9894.5380859375,26.171133041381836,447460.44,60.539368,224076.66,223254.05,0.8934471,0.0003,72.902405,5.7744126,1.0
7700,0.8377236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-72.25264,1.4877095,-6597.857177734375,-6597.857177734375,22.464685440063477,3971.6296,70.26631,2168.585,1523.1566,0.8921323,0.0003,70.852036,5.313512,1.0
7800,0.82955474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,-173.45505,2.2273588,-8425.45654296875,-8425.45654296875,24.894553184509277,5142.2114,82.80733,2595.6118,1901.2285,0.89081603,0.0003,37.014263,4.494641,1.0
7900,0.8026083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-106.067085,1.5813986,3611.8204650878906,3611.8204650878906,17.575141429901123,3447.8176,93.66378,1675.0073,1381.6349,0.88969654,0.0003,7.293628,3.165048,1.0
8000,0.53532904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-252.28113,4.54922,-6427.208984375,-6427.208984375,35.64302349090576,4402.247,76.02071,1828.9889,1803.3875,0.8886975,0.0003,33.5823,4.0992455,1.0
8100,0.5344801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-174.06819,2.9443774,-5575.0234375,-5575.0234375,37.67323684692383,2390.708,75.82074,1156.9086,1056.6697,0.8873766,0.0003,91.97339,5.616289,1.0
8200,0.20014091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-154.52469,1.1886516,-8169.2275390625,-8169.2275390625,31.843640327453613,2450.846,79.286644,909.80664,839.1027,0.8860779,0.0003,64.734474,6.5721955,1.0
8300,0.4694746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-170.14694,-0.95615375,-8058.794677734375,-8058.794677734375,30.215977668762207,1677.5818,101.110054,554.5147,542.1886,0.8848163,0.0003,62.90736,7.1084375,1.0
8400,0.7764328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-237.96791,-3.2662253,-6932.5810546875,-6932.5810546875,24.875157356262207,1192.1394,110.86011,412.86044,530.3493,0.8835737,0.0003,46.373764,6.8291078,1.0
8500,0.6463004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-245.17235,-0.47222444,-7661.23974609375,-7661.23974609375,27.651430130004883,2361.6199,101.14052,954.1743,980.5707,0.8823225,0.0003,47.51255,5.6150246,1.0
8600,0.6348499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-201.89355,3.6647587,-7137.570068359375,-7137.570068359375,25.37318706512451,3728.95,89.68075,1820.9031,1770.1692,0.8810569,0.0003,32.559338,5.254908,1.0
8700,0.5887438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-171.81323,4.197934,-6868.70166015625,-6868.70166015625,32.32851028442383,1412.7999,100.87653,485.8453,525.1756,0.87978554,0.0003,3.2340026,3.2584305,1.0
8800,0.5160676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.333333333333336,-206.08582,3.02552,-3882.0452473958335,-3882.0452473958335,38.10026550292969,1268.5358,101.10357,490.5676,510.10043,0.87824726,0.00029999999,15.444135,3.9543908,1.0
8900,0.50772977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-170.52942,0.82725805,-6736.9873046875,-6736.9873046875,24.272184371948242,1525.0609,93.80846,587.74426,618.3469,0.87673646,0.0003,20.720459,4.1860437,1.0
9000,0.44407403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-168.89902,-1.0673362,-4589.850830078125,-4589.850830078125,28.901790618896484,929.4924,86.67208,192.73999,371.6954,0.8754751,0.0003,13.403513,3.812996,1.0
9100,0.44313213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-223.55344,-1.6959434,-5595.962646484375,-5595.962646484375,27.668509483337402,1208.3297,92.82042,403.3459,566.1759,0.874214,0.0003,41.215508,4.911831,1.0
9200,0.3559685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-236.53758,-1.0941365,-8017.728759765625,-8017.728759765625,29.052132606506348,1428.6921,90.83388,312.89014,547.0342,0.87295425,0.0003,24.255234,3.7489533,1.0
9300,0.35312545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-177.9645,-0.5120433,-7284.7633056640625,-7284.7633056640625,36.80648422241211,1658.0961,102.78603,361.08585,620.7902,0.8717001,0.0003,27.369238,4.0738196,1.0
9400,0.72755563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-219.12747,0.36079904,-6568.059326171875,-6568.059326171875,29.638574600219727,1830.2249,114.98991,464.03156,563.6211,0.87044823,0.0003,12.432609,3.6510017,1.0
9500,0.53505874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-307.7686,1.7092061,-10705.77294921875,-10705.77294921875,16.242306232452393,1523.4797,109.37077,381.70322,480.14713,0.86919415,0.0003,72.32128,4.667063,1.0
9600,0.3201919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-263.0403,0.80865186,-9711.95361328125,-9711.95361328125,17.310197830200195,1388.0979,139.29097,482.79297,488.03046,0.86793864,0.0003,24.651983,3.1216626,1.0
9700,0.41171637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-248.06969,0.9268085,-6787.8916015625,-6787.8916015625,18.65947961807251,1393.4877,129.79575,598.18225,592.2599,0.86668396,0.0003,19.356411,3.6710808,1.0
9800,0.5816018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-344.739,1.2273539,-10268.2314453125,-10268.2314453125,18.507869720458984,2884.2107,129.68517,1224.2638,1406.5634,0.86542827,0.0003,20.323448,3.382494,1.0
9900,0.46227387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-357.64838,-0.11941229,-11341.7255859375,-11341.7255859375,19.783677101135254,1153.1754,150.39925,461.36758,376.31284,0.8641779,0.0003,21.741703,3.1096053,1.0
